No Sensor found on bus! Rescanning...
No Sensor found on bus! Rescanning...
✖ WiFi connection lost
🔄 WiFi disconnected, retrying...
✖ WiFi connection lost
No Sensor found on bus! Rescanning...
No Sensor found on bus! Rescanning...
✖ WiFi connection lost
🔄 WiFi disconnected, retrying...
✖ WiFi connection lost
No Sensor found on bus! Rescanning...
No Sensor found on bus! Rescanning...
✖ WiFi connection lost
🔄 WiFi disconnected, retrying...
✖ WiFi connection lost
⚠ WiFi connection timeout (20s). Falling back to AP Setup Mode!
✖ WiFi connection lost
🚀 AP Mode active. SSID: 'Pool-Controller-Setup'. IP: 192.168.4.1
[ 20736][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20744][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20752][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20760][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20768][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20776][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20784][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20792][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20800][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20808][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20816][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20824][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20832][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20840][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20848][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20856][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20864][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20872][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20880][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20888][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20896][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20904][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20912][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20920][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20928][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20936][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20944][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20952][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20960][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20968][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20976][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20984][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 20992][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21000][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21008][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21016][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21024][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21032][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21040][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21048][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21056][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21064][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21072][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21080][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21088][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21096][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21104][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21112][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21120][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21128][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21136][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21144][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21152][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21160][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21168][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21176][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21184][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21192][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21200][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21208][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21216][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21224][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21232][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21240][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21248][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21256][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21264][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21272][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21280][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21288][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21296][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21304][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21312][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21320][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21328][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21336][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21344][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21352][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21360][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21368][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21376][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21384][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21392][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21400][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21408][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21416][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21424][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21432][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21440][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21448][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21456][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21464][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21472][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21480][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21488][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21496][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21504][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21512][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21520][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21528][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21536][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21544][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21552][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21560][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21568][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21576][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21584][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21592][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21600][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21608][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21616][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21624][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21632][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21640][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21648][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21656][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21664][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21672][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21680][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21688][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 21696][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
No Sensor found on bus! Rescanning...
No Sensor found on bus! Rescanning...
[ 22009][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22017][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22025][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22033][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22041][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22049][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22057][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22065][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22073][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22081][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22089][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22097][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22105][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22113][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22121][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22129][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22137][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22145][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22153][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22161][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22169][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22177][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22185][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22193][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22201][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22209][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22217][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22225][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22233][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22241][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22249][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22257][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22265][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22273][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22281][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22289][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22297][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22305][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22313][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22321][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22329][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22337][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22345][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22353][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22361][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22369][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22377][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22385][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22393][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22401][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22409][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22417][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22425][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22433][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22441][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22449][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22457][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22465][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22473][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22481][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22489][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22497][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22505][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22513][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22521][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22529][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22537][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22545][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22553][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22561][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22569][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22577][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22585][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22593][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22601][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22609][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22617][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22625][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22633][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22641][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22649][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22657][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22665][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22673][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22681][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22689][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22697][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22705][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22713][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22721][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22729][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22737][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22745][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22753][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22761][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22769][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22777][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22785][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22793][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22801][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22809][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22817][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22825][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22833][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22841][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22849][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22857][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22865][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22873][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22881][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22889][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22897][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22905][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22913][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22921][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22929][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22937][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22945][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22953][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22961][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22969][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22977][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22985][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 22993][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23001][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23009][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23017][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23025][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23033][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23041][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23049][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23057][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23065][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23073][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23081][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23089][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23097][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23105][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23113][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23121][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23129][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23137][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23145][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23153][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23161][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23169][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23177][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23185][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23193][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23201][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23209][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23217][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23225][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23233][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23241][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23249][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23257][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23265][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23273][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23281][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23289][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23297][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23305][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23313][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23321][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23329][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23337][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23345][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23353][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23361][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23369][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23377][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23385][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23393][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23401][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23409][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23417][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23425][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23433][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 23441][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
